project,location,date_detected,field_of_view
ABMI Ecosystem Health 2015,236-NW,2015-09-19T14:59:33Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,236-NW,2015-02-27T11:52:36Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,236-SE,2015-02-27T11:40:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,236-SE,2015-07-26T10:36:27Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,236-SW,2015-09-19T16:04:41Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,236-SW,2015-02-27T11:14:38Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,264-NE,2015-03-01T15:26:12Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,264-NE,2015-09-18T15:39:29Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,264-NW,2015-03-01T15:13:20Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,264-NW,2015-09-18T13:59:13Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,264-SE,2015-03-01T16:22:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,264-SE,2015-09-18T16:36:42Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,264-SW,2015-09-18T17:47:39Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,264-SW,2015-03-01T15:49:41Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,265-NE,2015-03-03T11:00:02Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,265-NE,2015-09-20T11:07:46Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,265-NW,2015-08-23T21:54:00Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,265-NW,2015-03-03T11:51:07Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,265-SE,2015-02-27T17:12:24Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,265-SE,2015-09-20T09:23:58Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,265-SW,2015-03-03T13:13:21Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,265-SW,2015-09-20T10:49:47Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,266-NE,2015-02-26T14:44:15Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,266-NE,2015-09-20T15:40:57Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,266-NW,2015-02-26T13:15:26Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,266-NW,2015-09-20T15:24:37Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,266-SE,2015-09-20T14:51:13Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,266-SE,2015-02-26T14:22:56Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,266-SW,2015-02-26T14:04:48Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,266-SW,2015-09-20T14:26:28Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,294-NE,2015-03-03T16:21:31Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,294-NE,2015-09-18T10:50:15Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,294-NW,2015-09-18T10:03:56Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,294-NW,2015-03-03T15:31:19Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,294-SE,2015-03-03T17:13:28Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,294-SE,2015-09-18T11:45:40Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,294-SW,2015-03-01T17:22:32Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,294-SW,2015-09-18T08:41:03Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,295-NE,2015-03-04T09:54:11Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,295-NE,2015-09-18T15:37:21Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,295-NW,2015-03-04T12:10:11Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,295-NW,2015-09-18T14:40:51Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,295-SE,2015-09-18T16:25:37Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,295-SE,2015-03-04T10:35:12Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,295-SW,2015-03-04T12:25:31Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,295-SW,2015-09-18T13:44:36Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,296-NE,2015-02-26T10:28:48Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,296-NE,2015-09-18T09:32:41Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,296-NW,2015-09-18T10:37:27Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,296-NW,2015-02-26T10:24:32Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,296-SE,2015-09-18T12:21:14Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,296-SE,2015-02-26T11:18:17Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,296-SW,2015-02-26T11:28:05Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,296-SW,2015-09-18T11:36:33Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,329-NE,2015-02-20T13:38:12Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,329-NE,2015-07-06T14:51:25Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,329-NW,2015-07-06T12:56:54Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,329-NW,2015-02-20T14:45:56Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,329-SE,2015-07-06T14:10:48Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,329-SE,2015-02-20T12:03:08Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,329-SW,2015-02-20T15:34:36Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,329-SW,2015-07-06T13:30:48Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,330-NE,2015-02-20T11:14:35Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,330-NE,2015-07-07T15:33:48Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,330-NW,2015-07-07T13:52:38Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,330-NW,2015-02-20T11:56:49Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,330-SE,2015-02-20T10:17:23Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,330-SE,2015-03-02T07:58:36Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,330-SW,2015-02-20T12:55:10Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,330-SW,2015-07-07T14:25:06Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,331-NE,2015-07-07T13:21:58Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,331-NE,2015-02-21T12:21:26Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,331-NE,2015-05-28T14:20:04Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,331-NE,2015-05-28T14:41:43Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,331-NW,2015-02-21T16:07:54Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,331-NW,2015-05-28T15:13:28Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,331-NW,2015-07-07T12:51:24Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,331-NW,2015-05-28T12:59:59Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,331-SE,2015-05-28T13:38:45Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,331-SE,2015-05-28T14:06:38Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,331-SE,2015-07-07T13:47:49Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,331-SE,2015-02-21T13:28:57Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,331-SW,2015-02-21T14:37:05Z,START - First Good Image in FOV
