project,location,date_detected,field_of_view
ABMI Ecosystem Health 2015,543-NE,2015-06-11T12:15:32Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,543-NE,2015-07-17T15:45:09Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,543-NE,2015-02-19T16:15:49Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,543-NW,2015-07-17T16:22:19Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,543-NW,2015-06-11T13:31:06Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,543-NW,2015-02-18T16:13:59Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,543-NW,2015-06-11T13:42:11Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,543-SE,2015-02-19T15:29:36Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,543-SE,2015-07-17T17:30:10Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,543-SW,2015-07-17T16:56:53Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,544-NE,2015-02-18T17:24:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,544-NE,2015-07-09T13:12:20Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,544-NW,2015-02-19T12:14:12Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,544-NW,2015-07-09T12:44:21Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,544-SE,2015-02-18T17:37:41Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,544-SE,2015-07-09T11:57:19Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,544-SW,2015-02-19T12:32:17Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,544-SW,2015-07-09T12:17:51Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,545-NW,2015-07-17T15:03:43Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,545-NW,2015-02-18T10:58:41Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,545-SW,2015-07-17T13:12:27Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,545-SW,2015-02-18T14:30:39Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,574-NE,2015-07-25T10:01:36Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,574-NE,2015-02-18T10:04:50Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,574-NW,2015-07-25T11:42:26Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,574-NW,2015-02-18T13:19:47Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,574-SE,2015-02-18T11:29:45Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,574-SE,2015-07-25T10:42:46Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,574-SW,2015-02-18T12:22:19Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,574-SW,2015-07-25T12:26:32Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,575-NE,2015-02-17T14:11:48Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,575-NE,2015-07-10T14:20:09Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,575-NW,2015-02-17T17:29:44Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,575-NW,2015-07-10T13:44:53Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,575-SE,2015-02-17T15:14:51Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,575-SE,2015-07-10T12:08:43Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,575-SW,2015-02-17T16:30:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,575-SW,2015-07-10T12:45:44Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,576-NE,2015-07-10T13:10:55Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,576-NE,2015-02-17T13:34:15Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,576-NW,2015-07-10T13:41:33Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,576-SE,2015-07-10T12:40:19Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,576-SE,2015-02-17T14:54:25Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,576-SW,2015-07-10T14:24:59Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,576-SW,2015-02-17T15:59:45Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,599-NE,2015-02-22T16:41:16Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,599-NE,2015-07-06T13:43:34Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,599-NW,2015-02-23T09:51:19Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,599-NW,2015-07-06T15:40:53Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,599-SE,2015-02-22T15:26:49Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,599-SW,2015-07-06T16:15:05Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,599-SW,2015-02-22T14:24:04Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,600-NE,2015-02-22T16:45:26Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,600-NE,2015-07-02T10:07:02Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,600-NW,2015-07-02T09:19:26Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,600-NW,2015-02-22T15:47:44Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,600-SE,2015-02-22T17:43:53Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,600-SE,2015-07-01T20:44:20Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,600-SW,2015-02-22T14:43:30Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,600-SW,2015-07-02T08:25:46Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,601-NE,2015-03-04T15:57:29Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,601-NE,2015-07-02T15:56:12Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,601-NW,2015-03-04T16:47:16Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,601-NW,2015-07-02T14:44:12Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,601-SE,2015-07-02T17:01:45Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,601-SE,2015-03-04T15:04:54Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,601-SW,2015-03-04T16:04:58Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,601-SW,2015-05-30T15:11:40Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,631-NE,2015-07-02T16:41:39Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,631-NE,2015-02-23T11:59:31Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,631-SE,2015-07-02T17:23:04Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,631-SE,2015-02-23T12:12:02Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,631-SW,2015-07-02T18:01:24Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,631-SW,2015-02-23T11:06:31Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,632-NW,2015-07-23T10:21:38Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,632-NW,2015-03-04T11:44:51Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,632-SE,2015-03-04T14:33:20Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,632-SE,2015-07-23T10:48:25Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,632-SW,2015-07-23T11:06:24Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,632-SW,2015-03-04T13:11:23Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,633-NE,2015-07-24T14:02:20Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,633-NE,2015-03-04T12:48:03Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,633-NW,2015-03-04T13:36:00Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,633-NW,2015-07-24T15:46:38Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,633-SE,2015-03-04T11:57:47Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,633-SE,2015-07-24T16:26:34Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,633-SW,2015-03-04T11:01:47Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,633-SW,2015-07-24T15:03:00Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,663-NE,2015-02-23T13:36:26Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,663-NE,2015-07-02T18:17:02Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,663-NW,2015-07-02T15:25:43Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,663-NW,2015-02-23T14:48:04Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,663-SE,2015-02-23T14:36:18Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,663-SE,2015-07-02T17:25:11Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,663-SW,2015-02-23T13:56:24Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,663-SW,2015-07-02T16:25:03Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,664-NE,2015-03-03T11:40:08Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,664-NE,2015-07-03T11:03:41Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,664-NW,2015-03-03T16:22:27Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,664-NW,2015-07-02T17:57:38Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,664-SE,2015-07-03T10:30:30Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,664-SW,2015-03-03T14:40:56Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,664-SW,2015-07-02T16:54:57Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,665-NE,2015-03-03T11:35:11Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,665-NE,2015-07-24T13:23:12Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,665-NW,2015-03-03T15:25:53Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,665-NW,2015-07-24T11:09:10Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,665-SE,2015-07-24T12:29:23Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,665-SE,2015-03-03T14:59:59Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,665-SW,2015-03-03T14:34:35Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,665-SW,2015-07-24T11:45:25Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,791-NE,2015-07-23T09:28:10Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,791-NE,2015-03-08T16:57:27Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,791-NW,2015-03-09T11:36:40Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,791-SE,2015-03-08T15:56:30Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,791-SE,2015-07-20T13:39:25Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,791-SW,2015-03-09T11:26:19Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,791-SW,2015-07-20T15:49:12Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,792-NE,2015-03-08T12:16:05Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,792-NE,2015-07-10T14:33:01Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,792-NW,2015-03-08T12:59:24Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,792-NW,2015-07-10T15:01:58Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,792-SE,2015-03-08T11:31:38Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,792-SE,2015-07-10T12:43:06Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,792-SW,2015-05-10T11:57:40Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,792-SW,2015-07-10T13:32:55Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,792-SW,2015-03-08T10:54:12Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,792-SW,2015-05-10T12:35:37Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,793-NE,2015-03-06T12:16:48Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,793-NE,2015-07-10T18:04:00Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,793-NW,2015-07-10T17:15:44Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,793-NW,2015-03-06T13:04:40Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,793-SE,2015-03-06T14:35:10Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,793-SE,2015-07-10T16:01:02Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,793-SW,2015-03-06T15:38:45Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,793-SW,2015-05-10T14:33:29Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,794-NE,2015-03-07T13:34:08Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,794-NE,2015-07-25T10:31:45Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,794-NW,2015-03-07T15:30:25Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,794-NW,2015-07-25T10:57:40Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,794-SE,2015-03-07T12:49:24Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,794-SE,2015-06-10T10:52:09Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,794-SE,2015-07-25T09:53:10Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,794-SE,2015-06-10T11:05:26Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,794-SW,2015-06-10T10:08:19Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,794-SW,2015-06-10T10:33:26Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,794-SW,2015-07-25T09:18:28Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,794-SW,2015-03-07T14:45:33Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,823-NE,2015-03-07T14:12:45Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,823-NE,2015-07-05T13:19:24Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,823-NW,2015-03-07T12:47:44Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,823-NW,2015-06-13T12:34:16Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,823-NW,2015-07-26T11:09:12Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,823-NW,2015-06-13T12:18:52Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,823-SE,2015-07-26T09:45:22Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,823-SE,2015-03-07T09:35:41Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,823-SW,2015-03-07T11:24:52Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,823-SW,2015-06-13T13:44:59Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,824-SE,2015-03-08T15:04:12Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,824-SE,2015-05-11T09:15:44Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,824-SE,2015-05-11T09:38:04Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,824-SE,2015-07-10T08:33:50Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,824-SW,2015-05-11T09:50:11Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,824-SW,2015-05-11T10:05:02Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,824-SW,2015-07-10T09:10:37Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,824-SW,2015-03-08T17:14:31Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,825-NE,2015-07-18T14:23:20Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,825-NE,2015-03-06T17:44:46Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,825-NW,2015-03-06T18:33:25Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,825-NW,2015-07-18T13:48:01Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,825-SE,2015-03-07T18:56:34Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,825-SE,2015-07-18T15:03:20Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,825-SW,2015-07-18T13:02:52Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,825-SW,2015-03-07T18:40:43Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,855-NE,2015-07-21T11:40:15Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,855-NE,2015-03-09T13:37:21Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,855-NW,2015-07-21T12:33:18Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,855-NW,2015-03-07T16:23:26Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,855-NW,2015-06-12T12:53:02Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,855-NW,2015-06-12T13:10:29Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,855-SE,2015-03-09T14:22:40Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,855-SE,2015-06-12T13:55:39Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,855-SW,2015-03-07T17:26:56Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,855-SW,2015-07-21T12:56:11Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,856-NE,2015-03-08T10:35:07Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,856-NE,2015-07-22T11:27:53Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,856-NW,2015-07-22T12:17:41Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,856-NW,2015-03-08T09:51:35Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,856-SE,2015-07-22T10:33:37Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,856-SE,2015-03-08T12:33:23Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,856-SW,2015-03-08T11:36:40Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,856-SW,2015-06-14T12:57:40Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,856-SW,2015-07-22T12:47:12Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,856-SW,2015-06-14T13:05:35Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,857-NE,2015-03-20T13:34:17Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,857-NE,2015-07-19T10:51:47Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,857-NW,2015-03-20T12:42:33Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,857-NW,2015-06-11T13:39:59Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,857-NW,2015-07-19T09:31:09Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,857-NW,2015-06-11T13:32:04Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,857-SE,2015-07-19T11:24:27Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,857-SE,2015-03-20T11:01:01Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,989-NE,2015-02-25T11:16:54Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,989-NW,2015-02-25T12:06:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,989-NW,2015-07-06T14:45:06Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,989-SE,2015-02-25T09:59:47Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,989-SE,2015-05-22T10:59:59Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,989-SW,2015-02-25T13:12:16Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,989-SW,2015-07-06T15:37:02Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,990-NE,2015-04-28T12:36:18Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,990-NE,2015-02-26T16:20:33Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,990-NW,2015-02-25T16:26:50Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,990-NW,2015-07-07T16:02:57Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,990-SW,2015-07-07T16:46:59Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,990-SW,2015-02-25T14:52:16Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,991-NE,2015-02-24T10:12:09Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,991-NE,2015-07-09T12:28:36Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,991-NW,2015-02-24T12:40:38Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,991-NW,2015-07-09T13:42:18Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,991-SE,2015-07-09T11:21:22Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,991-SE,2015-02-24T11:07:42Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,991-SW,2015-02-24T11:59:43Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,991-SW,2015-07-09T14:29:02Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1022-NE,2015-07-08T10:41:32Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1022-NE,2015-02-23T13:44:23Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1022-NW,2015-07-08T11:37:26Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1022-NW,2015-02-23T12:19:21Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1022-SE,2015-07-08T09:22:14Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1022-SE,2015-02-23T15:04:22Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1022-SW,2015-07-08T08:03:42Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1022-SW,2015-02-23T16:20:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1023-NE,2015-07-10T13:22:11Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1023-NW,2015-07-10T14:31:47Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1023-NW,2015-02-27T16:16:18Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1023-SE,2015-02-27T17:04:23Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1023-SE,2015-05-07T10:27:41Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1023-SW,2015-02-27T17:41:52Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1023-SW,2015-07-10T11:47:33Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1024-NE,2015-07-11T16:26:57Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1024-NE,2015-02-26T11:09:40Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1024-NW,2015-07-11T18:51:29Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1024-NW,2015-02-26T11:01:46Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1024-SE,2015-07-11T17:37:31Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1024-SE,2015-07-11T17:38:29Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1024-SE,2015-07-11T17:37:31Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1024-SE,2015-07-11T17:38:29Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1024-SW,2015-07-11T08:24:46Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1056-NE,2015-07-13T13:02:47Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1056-NE,2015-02-24T15:32:02Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1056-NW,2015-02-24T14:42:01Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1056-NW,2015-05-31T15:31:10Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1056-SE,2015-07-13T13:50:38Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1056-SE,2015-02-24T16:12:48Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1056-SW,2015-07-13T12:38:17Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1056-SW,2015-02-24T16:58:30Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1057-NE,2015-07-12T08:44:48Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1057-NE,2015-02-27T13:44:52Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1057-NW,2015-07-12T12:46:31Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1057-NW,2015-02-27T10:05:43Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1057-SE,2015-07-12T10:14:17Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1057-SE,2015-02-27T11:29:19Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1057-SW,2015-07-12T11:26:14Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1057-SW,2015-02-27T12:26:23Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1058-NE,2015-07-14T12:08:26Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1058-NE,2015-02-26T14:45:26Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1058-NE,2015-04-19T19:52:07Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1058-NE,2015-06-03T12:32:24Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1058-NW,2015-07-14T12:52:37Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1058-NW,2015-02-26T15:38:03Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-06-04T14:05:43Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-06-07T18:26:37Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-06-22T14:44:27Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-02-26T17:43:04Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-06-04T14:06:09Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-06-07T20:46:37Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-06-16T14:41:25Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-06-16T18:30:50Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-06-21T14:07:40Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-06-22T14:42:48Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-06-22T15:43:16Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-06-30T06:50:34Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-07-11T06:13:55Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-07-11T06:15:38Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-07-11T06:17:21Z,START - First Good Image in FOV
ABMI Ecosystem Health 2015,1058-SE,2015-07-11T06:17:30Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1058-SW,2015-07-14T13:37:55Z,END - Last Good Image in FOV
ABMI Ecosystem Health 2015,1058-SW,2015-02-26T16:37:53Z,START - First Good Image in FOV
